,Player,Age,GS,3PA,2PA,FTA,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%,SRS,TS%
84,Aaron Wiggins,23,0.5685120080152916,0.05034399799109561,-0.011314817462360438,0.04120908662619779,0.06357100452134225,-0.25535286584277705,-0.016339341455174267,-0.45185147296363987,0.1015007869485672,0.3742221194603178,0.009422175061948474,-1.46121827829556,-1.669496049805204,0.19603592068681175
85,Aleksej Pokusevski,20,-0.32285076286164166,0.22665727604963293,0.048733117315958356,-0.5183507055923622,0.7288329761609049,0.12636947331859294,-0.016339341455174267,0.6139190578082996,0.5859818607464654,-0.2525895701119203,-0.10111220551244626,-1.46121827829556,-1.669496049805204,-0.3533051895412873
86,Darius Bazley,21,1.2661002634841956,0.5352055126520728,0.4390446933750301,0.5385955685982512,1.186200581663104,-0.25535286584277705,0.46587049173411715,1.6796895885802392,0.3437413238475163,-0.7540389217697107,0.4041878199705005,-1.46121827829556,-1.669496049805204,-0.12580445766788861
87,Derrick Favors,30,-0.09032134437200691,-1.0075356703601275,0.07875708470511762,-0.6426973260853757,0.5209386100235416,-0.6916069677414856,-0.4985491746444654,-0.18540884027065505,-0.9885816290967042,-0.0018648942830248399,-0.4642965988283141,-1.46121827829556,-1.669496049805204,0.020884352126941928
88,Gabriel Deck,26,-0.7879095998409111,-0.9193790313308587,-0.7919379695805041,-1.0157371875644157,-1.0590585726204198,-0.6370752050041469,-1.2218639244284024,-0.9847367383496097,-0.8674613606472296,-1.6315752871708438,-0.8906434953295503,-1.46121827829556,-1.669496049805204,0.8920811945252645
89,Georgios Kalaitzakis,23,-0.632889987514488,-0.30228255812597865,-0.25150655657563536,0.41424894810523777,-0.768006460028111,-0.5280116795294698,0.46587049173411715,-0.45185147296363987,0.5859818607464654,-0.12722723219747256,-0.2590184634758671,-1.46121827829556,-1.669496049805204,0.001280327050298961
90,Isaiah Roby,23,0.297227686444051,-0.21412591909671,0.28892485642923327,0.6007688788447579,0.5625174832510141,-0.14628934036809985,0.46587049173411715,1.1468043231942695,-0.019619481500907487,1.001033809032556,0.2936534393961058,-1.46121827829556,-1.669496049805204,0.5562616257692039
91,Jaylen Hoard,22,-0.5941350844328822,0.40297055410817006,1.5799554541630862,0.22772901736571782,3.5561963556290457,0.2899647615306085,0.7069754083287627,0.8803616905012844,0.1015007869485672,0.4995844573747655,1.0200222260278415,-1.46121827829556,-1.669496049805204,0.01741954136501805
92,Jeremiah Robinson-Earl,21,0.6072669110968973,0.3148139150789014,-0.25150655657563536,-0.3318307748528422,0.8951484690707954,-0.47347991679213125,-0.016339341455174267,-0.18540884027065505,-0.2618600183998566,-0.12722723219747256,-0.11690283130878829,-1.46121827829556,-1.669496049805204,-0.012729579725067323
93,Josh Giddey,19,1.3048551665658015,0.5352055126520728,1.3397637150498112,-0.08313753386681554,1.809883680075194,2.4712352710241507,0.7069754083287627,0.08103379242232991,2.645026424387533,-0.0018648942830248399,0.6726284585083158,-1.46121827829556,-1.669496049805204,-0.3937511442208703
